,name,tradeScale,subName,brand,datatype,size,dateQty,price
0,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,275,22/04/23,219000
1,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,230,22/04/23,340000
2,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,270,22/04/23,227000
3,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,265,22/04/23,227000
4,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,260,22/04/23,220000
5,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,270,22/04/23,226000
6,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,270,22/04/23,226000
7,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,260,22/04/23,220000
8,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,255,22/04/23,238000
9,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,280,22/04/23,220000
10,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,260,22/04/23,219000
11,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,280,22/04/23,228000
12,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,285,22/04/23,220000
13,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,245,22/04/23,299000
14,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,260,22/04/23,227000
15,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,270,22/04/23,226000
16,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,275,22/04/23,218000
17,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,260,22/04/23,218000
18,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,280,22/04/23,228000
19,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,250,22/04/23,246000
20,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,270,22/04/23,221000
21,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,280,22/04/23,219000
22,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,285,22/04/23,230000
